"","d18Oc_mean","d18Oc_median","d18Oc_SD","d18Oc_SE","D47_mean","D47_median","D47_SD","D47_SE","T_mean","T_median","T_SD","T_SE","d18Ow_mean","d18Ow_median","d18Ow_SD","d18Ow_SE"
"1",-1.94427293642673,-2.03614344584629,0.294186780519101,0.0849244084623663,0.67997409284309,0.680044110824589,0.0098741933937304,0.00285043410695034,22.7438302004695,22.6824546893044,2.8530324946138,0.823599539386015,-0.0141412975064671,-0.0211557423834741,0.59663816449053,0.172234602438706
"2",-2.75460572272936,-2.75030933955578,0.219879048859829,0.0634736140241906,0.666250571287772,0.666466668949513,0.0108128910988096,0.00312141279330791,26.794262644823,26.6764306850489,3.25954304521324,0.940949027294518,-0.00488150459037572,-0.0128938586752163,0.65552976613743,0.189235143470629
"3",-3.25347082278099,-3.27329569112389,0.150410817713606,0.043419863047991,0.657801960952021,0.657947014625536,0.011550307603101,0.00333428660193667,29.3745092114779,29.2667617883891,3.57287475876722,1.03140010187754,0.00628987925775874,-0.00299254399851634,0.703517555091679,0.203088024905904
"4",-3.30073138808012,-3.32342368534277,0.157307146269711,0.0393267865674277,0.657001572028406,0.657153643957566,0.0117325136105144,0.00293312840262859,29.6237252999692,29.5114111770826,3.63913338174314,0.909783345435785,0.00764816015687651,-0.00114095259993796,0.714842299966292,0.178710574991573
"5",-2.76899880417691,-2.75768903835172,0.196968515118033,0.0568599126126385,0.666006814936269,0.666207163121419,0.0107203413422807,0.00309469597988522,26.866654551538,26.7543508381163,3.23367042064541,0.933480243915079,-0.00468802960518804,-0.0127949275487147,0.649384994469511,0.187461300682338
"6",-1.81289404448145,-1.7935975015686,0.375629769576418,0.0939074423941045,0.682199081250324,0.682736198191949,0.0104758845097534,0.00261897112743835,22.1091214870516,21.9093377084488,3.01667942908781,0.754169857271953,-0.0142303144469654,-0.0211719606679281,0.634857048859956,0.158714262214989
"7",-0.723430922484364,-0.78547597555223,0.250764748198972,0.0723895474379727,0.700649859610991,0.700717878831779,0.00811054844296502,0.00234131366341068,16.93990863312,16.896276700059,2.20639935198708,0.636932629904778,-0.00876794582426939,-0.0151085553362318,0.483880291282751,0.139684208213825
"8",0.130333643350661,0.147457820253716,0.258540168448245,0.0746341179249626,0.715108927071243,0.715049175870336,0.00795435121013549,0.00229622340620027,13.085847040885,13.0788502074113,2.07668554515391,0.599487479258409,0.00864789539130132,0.00288027137590063,0.471020014819061,0.135971766174743
"9",0.712382879812193,0.738616775897261,0.156577990851335,0.0391444977128336,0.724966315761243,0.724997425783206,0.00746921008015325,0.00186730252003831,10.542838614393,10.515861596709,1.89959279215297,0.474898198038243,0.0263036936776593,0.0207687307042761,0.430964812393051,0.107741203098263
"10",0.593064932449464,0.573961284916935,0.170517828102576,0.0492242569783262,0.722945587425617,0.722881599518951,0.00747443577821822,0.00215768375429743,11.0581044920038,11.055200952857,1.9103957566532,0.551483752181222,0.0222663631394467,0.016306697864902,0.433427226563996,0.125119662965418
"11",0.150507464557997,0.173722567654466,0.273768465674535,0.0790301486764117,0.715450584072998,0.715516011140086,0.00809601102025036,0.00233711707095186,12.9974836058977,12.9570213429472,2.11355348700653,0.610130337334946,0.00924378505467812,0.00350465523156451,0.480369848027736,0.138670830534697
"12",-0.752161885283914,-0.69291196185739,0.340481584332369,0.0944326008201209,0.700163281758102,0.700631518807541,0.00901353148132872,0.00249990384068766,17.078286204961,16.919745506961,2.46006204836376,0.682298450476808,-0.00877041421511356,-0.0154177835923779,0.543202380161243,0.150657233432726
