"","bin #","d18Oc_mean","d18Oc_median","d18Oc_SD","d18Oc_SE","D47_mean","D47_median","D47_SD","D47_SE","T_mean","T_median","T_SD","T_SE","T_mean","T_median","T_SD","T_SE","d18Ow_mean","d18Ow_median","d18Ow_SD","d18Ow_SE"
"1",1,-2.00469560050751,-2.01763614243136,0.230270349132144,0.162825725377532,0.679881233111142,0.678733037307769,0.0401397200694791,0.0283830682560585,23.4139090217115,23.0611777650476,11.6926170297371,8.26792879154439,22.7294252994023,23.0611775394664,10.9401093952729,7.73582554032012,-0.022545209083205,0.0126825309876928,2.37910443495279,1.68228087910611
"2",2,-2.48682309153562,-2.5362226956508,0.22812607579903,0.131708651271743,0.669817295184997,0.669388215003008,0.0405312018239125,0.023400700283615,26.4123803012742,25.8033670378457,12.2186063729938,7.05441567857006,25.6757834181663,25.8033668802958,11.3614716126423,6.55954869394934,0.0976999396678023,0.114947516955972,2.44564225978835,1.41199221703033
"3",3,-2.924626079325,-2.93874892197518,0.177929114501267,0.0889645572506333,0.664674209232277,0.665031442680419,0.0403566792720971,0.0201783396360485,27.9661411629609,27.1081398921985,12.3605084672765,6.18025423363824,27.2158837547506,27.1081395647985,11.4844932732413,5.74224663662065,-0.031535861605952,-0.104223829786859,2.44122668937784,1.22061334468892
"4",4,-2.96908420054905,-2.96865899548987,0.10704732632694,0.0618038026708882,0.662026919696316,0.662379528538245,0.0403767422801926,0.0233115230244694,28.7790234021206,27.9107529662244,12.4681771680327,7.19850544426761,28.0179565164609,27.9107524616222,11.5786626967067,6.6849440247995,0.084212352263581,0.0211888083867322,2.44922661724984,1.41406164677559
"5",5,-2.43074956696206,-2.43425590846798,0.110914507958962,0.0784284007097514,0.67000731925063,0.669443634131962,0.0408221251988541,0.028865601550556,26.3663565660286,25.7868792678736,12.3057501552526,8.7014793823665,25.6193334898682,25.7868792676146,11.4321624701285,8.08375960625422,0.143264265587131,0.106537017440118,2.45599531563666,1.73665094224908
"6",6,-1.75888774071368,-1.75380550550667,0.305863857589756,0.152931928794878,0.682728823240914,0.682583200871096,0.0396915282247109,0.0198457641123554,22.5727933971743,21.9531133197969,11.4850922980474,5.74254614902368,21.9114473834278,21.953113319794,10.7382620148538,5.36913100742689,0.0533120895779315,0.0469695301821833,2.33548106205949,1.16774053102975
"7",7,-0.816058518502573,-0.932213186774369,0.295179947501893,0.170422222149597,0.698720040390819,0.697727039807855,0.0400206282267812,0.0231059204798701,18.0634740586552,17.712386855948,11.0571457866292,6.38384609637932,17.4406630961744,17.7123864384507,10.3548550484395,5.9783783496361,0.0559055888785426,0.0369132000264862,2.32624043772494,1.34305554292029
"8",8,-0.123836607884721,-0.0879292060472081,0.175087707800511,0.101086935230419,0.710925486090855,0.710653997108407,0.0397652525509873,0.022958479264706,14.7429180626616,14.233531898076,10.6178996213375,6.13024720460765,14.1618021479686,14.2335318267089,9.95950370199705,5.75012214334307,0.0383220889807307,-0.0096685209635865,2.29403900900758,1.32446403938203
"9",9,0.473426622559539,0.474158231617005,0.0994314625751339,0.0703086614501736,0.720187442961314,0.720621819182225,0.0392330533058828,0.027741958039243,12.2856998873722,11.6346463969523,10.1623530665172,7.18586876614622,11.7464343684431,11.6346463969382,9.59521644890509,6.78484261797349,0.101079157487287,0.0184724311058027,2.24561681218588,1.58789087584316
"10",10,0.300063448763653,0.339665971321782,0.203062148251364,0.101531074125682,0.718307339814136,0.718608779418915,0.0403239877125205,0.0201619938562603,12.8120013780885,12.1538193672937,10.5955608983887,5.29778044919433,12.2318068253536,12.1538193656435,9.89703987463122,4.94851993731561,0.0382488588587786,-0.0122580522001119,2.31263511785267,1.15631755892633
"11",11,-0.0880120406452676,-0.171417771953261,0.25770865073754,0.148788158875814,0.712338166293544,0.711703284028779,0.0387722653116845,0.0223851778147927,14.3385535360653,13.9565984147123,10.3172750302815,5.95668151603642,13.7894250474503,13.9565983555014,9.68678560308723,5.5926682755246,-0.00966601953898369,-0.0364366339527784,2.2323069193063,1.28882300077536
"12",12,-0.829524975544894,-0.852227388654323,0.28173638554996,0.162660578037782,0.699270738943763,0.699267586797146,0.0406777493914605,0.0234853095611879,17.936759145817,17.2911586702775,11.297248771056,6.52246961907136,17.2902985735439,17.2911585818101,10.5000257372865,6.06219268592035,0.0119921131152913,-0.05535973974626,2.36986273504009,1.36824088801786
